id,species_name,2128219686039461,2123616963885232,2123049574638255,2129226246547627,2127252033141244,2122116184406737,2125539282502858,2125354857019209
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Dothiorella;s__NA,Dothiorella sp,0,0,1656,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__aphidis,Cladosporium aphidis,0,0,1849,0,0,2004,0,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__austrohemisphaericum,Cladosporium austrohemisphaericum,0,0,0,0,4400,23134,0,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__dominicanum,Cladosporium dominicanum,0,0,0,0,5351,90365,0,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__NA,Cladosporium sp,0,0,5624,2969,0,2839,159,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__NA;g__NA;s__NA,Capnodiales sp,0,0,0,0,0,0,207,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Hormonema;s__viticola,Hormonema viticola,0,0,1117,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__NA;f__NA;g__NA;s__NA,Dothideomycetes sp,0,0,0,0,0,0,302,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__NA;g__NA;s__NA,Pleosporales sp,0,0,847,0,1546,0,255,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia;s__byssoides,Periconia byssoides,0,0,14908,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Curvularia;s__NA,Curvularia sp,0,0,0,909,0,0,0,0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Helicosporium;s__panachaeum,Helicosporium panachaeum,0,0,1386,0,0,0,0,0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__halophilicus,Aspergillus halophilicus,0,0,0,0,0,0,334,0
